Appling,"1,784",21.26%,"6,570",78.31%,36,0.43%,"-4,786",-57.05%,"8,390"
Atkinson,825,26.15%,"2,300",72.90%,30,0.95%,"-1,475",-46.75%,"3,155"
Bacon,625,13.39%,"4,017",86.07%,25,0.54%,"-3,392",-72.68%,"4,667"
Baker,652,41.93%,897,57.68%,6,0.39%,-245,-14.85%,"1,555"
Baldwin,"9,140",50.05%,"8,903",48.75%,218,1.20%,237,1.30%,"18,261"
Banks,932,10.58%,"7,795",88.53%,78,0.89%,"-6,863",-77.95%,"8,805"
Barrow,"10,453",27.55%,"26,804",70.64%,689,1.81%,"-16,351",-43.09%,"37,946"
Bartow,"12,091",23.95%,"37,672",74.62%,723,1.43%,"-25,581",-50.67%,"50,486"
Ben Hill,"2,393",36.46%,"4,111",62.63%,60,0.91%,"-1,718",-26.17%,"6,564"
Berrien,"1,269",16.39%,"6,419",82.89%,56,0.72%,"-5,150",-66.50%,"7,744"
Bibb,"43,408",61.34%,"26,559",37.53%,796,1.13%,"16,849",23.81%,"70,763"
Bleckley,"1,312",22.98%,"4,329",75.81%,69,1.21%,"-3,017",-52.83%,"5,710"
Brantley,700,9.03%,"6,993",90.24%,56,0.73%,"-6,293",-81.21%,"7,749"
Brooks,"2,791",39.30%,"4,261",60.01%,49,0.69%,"-1,470",-20.71%,"7,101"
Bryan,"6,738",31.56%,"14,240",66.70%,371,1.74%,"-7,502",-35.14%,"21,349"
Bulloch,"11,248",37.36%,"18,387",61.07%,474,1.57%,"-7,139",-23.71%,"30,109"
Burke,"5,208",48.74%,"5,400",50.54%,77,0.72%,-192,-1.80%,"10,685"
Butts,"3,274",27.80%,"8,406",71.38%,96,0.82%,"-5,132",-43.58%,"11,776"
Calhoun,"1,263",57.46%,923,41.99%,12,0.55%,340,15.47%,"2,198"
Camden,"7,967",33.62%,"15,249",64.35%,482,2.03%,"-7,282",-30.73%,"23,698"
Candler,"1,269",28.64%,"3,133",70.71%,29,0.65%,"-1,864",-42.07%,"4,431"
Carroll,"16,236",29.79%,"37,476",68.76%,790,1.45%,"-21,240",-38.97%,"54,502"
Catoosa,"6,932",21.25%,"25,167",77.14%,527,1.61%,"-18,235",-55.89%,"32,626"
Charlton,"1,105",24.19%,"3,419",74.85%,44,0.96%,"-2,314",-50.66%,"4,568"
Chatham,"78,247",58.62%,"53,232",39.88%,"2,005",1.50%,"25,015",18.74%,"133,484"
Chattahoochee,667,42.16%,880,55.63%,35,2.21%,-213,-13.47%,"1,582"
Chattooga,"1,854",18.44%,"8,064",80.21%,135,1.35%,"-6,210",-61.77%,"10,053"
Cherokee,"42,779",29.53%,"99,585",68.75%,"2,495",1.72%,"-56,806",-39.22%,"144,859"
Clarke,"36,055",70.12%,"14,450",28.10%,916,1.78%,"21,605",42.02%,"51,421"
Clay,791,55.08%,637,44.36%,8,0.56%,154,10.72%,"1,436"
